noise_std,mean,std,count
0.05,0.06765059197285009,0.12425222685255043,24000
0.05,0.06443081652575915,0.11905946008076147,21600
0.25,0.11066982820745129,0.12402547991206157,2400
0.25,0.10435755867479618,0.11560901256894816,24000
0.2,0.09830416584760662,0.1220277363931177,4800
0.25,0.10136528351879108,0.11105301606633207,19200
0.2,0.0953263749342441,0.11592470577514877,24000
0.2,0.09084159234545743,0.11095809852142935,16800
0.3,0.11449337426065763,0.1179429495395001,7200
0.3,0.11429771306241643,0.11502811663991333,24000
0.0,0.05910419181100626,0.12890098036777942,9600
0.3,0.11069687567834018,0.11090240770255898,14400
0,0.056830715786018365,0.12536854538692885,24000
0.0,0.055566965429233714,0.1234367466006971,12000
0.15,0.08708873549783559,0.11971480728983164,12000
0.15,0.08508670063282506,0.11563784679118631,24000
0.1,0.07679919331346698,0.12011775184465756,14400
0.15,0.08196680375294296,0.11367530105357042,9600
0.1,0.07461441008727739,0.11769549944267442,24000
0.05,0.06413233039768075,0.11922266548320555,16800
0.1,0.0751327852917472,0.1193426555870258,7200
0.05,0.06395508328283776,0.11925782797140906,24000
0.05,0.06980740710144884,0.1254324822560115,4800
0.25,0.10347355366021278,0.11457242039435993,19200
0.25,0.10095803416484657,0.10962363768129393,24000
0.2,0.09404294275125033,0.11602789550953545,21600
0.25,0.10783708975269772,0.1214855818448445,2400
0.2,0.09160920904059158,0.11042448774920458,24000
0.3,0.113039357755842,0.11472412662354732,24000
0.0,0.05721391889801763,0.1311233043820033,2400
0.3,0.1112770609076975,0.11012612992446674,21600
0,0.056331687797915975,0.12476289865661654,24000
0.0,0.05402120069556828,0.12137585026585793,19200
0.15,0.08449538101455646,0.12078179422532478,4800
0.15,0.08458545909874597,0.11601255520357784,24000
0.1,0.07573979466849234,0.12175558059720216,7200
0.15,0.08084400642667684,0.11062376340088227,16800
0.1,0.07438190811017024,0.117087980393985,24000
0.05,0.06868774293939066,0.12558381768400878,9600
0.1,0.07280970202393751,0.11378234743402303,14400
0.05,0.06492340558335824,0.119908620801042,24000
0.05,0.06324628312492907,0.1174913376600027,12000
0.25,0.10711695041646038,0.11808689678365118,12000
0.25,0.10211042528402262,0.11192122709098141,24000
0.2,0.09638621628834271,0.11635044624980947,14400
0.25,0.10091207844509442,0.11035370091945565,9600
0.2,0.09239235043615585,0.11193373634881953,24000
0.2,0.09385434754539113,0.11413467415731365,7200
0.3,0.11341805717490394,0.11485817518254735,16800
0.3,0.11097276062205991,0.11171226053441093,24000
0.0,0.05978483513850736,0.12931708079442839,19200
0.3,0.11452270378058929,0.11683129991925598,4800
0,0.05200224194930387,0.11872412214564383,24000
0.0,0.06507432852539934,0.13640926024992225,2400
0.15,0.08764247581350446,0.11931646175430913,21600
0.15,0.08128297037345653,0.11106268507417201,24000
0.1,0.07711625115975886,0.12063433669190796,24000
0.05,0.07286736179776275,0.13242080840697035,2400
0.1,0.07224156882112705,0.1135462781995838,21600
0.05,0.06959736368092477,0.12488167946805041,24000
0.05,0.06327966207449857,0.11729315229062175,19200
0.25,0.10979557238051427,0.12181252422378241,4800
0.25,0.10587651490870933,0.11623250408653336,24000
0.2,0.09823488847304959,0.11964443010718984,7200
0.25,0.10036998596174652,0.1100613451150875,16800
0.2,0.09581423064284843,0.11659593621620581,24000
0.2,0.09216794215632185,0.11093928355272839,14400
0.3,0.11776600503966816,0.11899997596876453,9600
0.3,0.11347946168997608,0.11487285857944296,24000
0.0,0.06201877646749541,0.13174677219182207,12000
0.3,0.1110024525616817,0.11083113786421438,12000
0,0.05676723813314414,0.12472852235196197,24000
0.0,0.05549185814541649,0.12201418173456331,9600
0.15,0.08880552650133018,0.11947943339134735,14400
0.15,0.08443688782643265,0.11555498481263263,24000
0.1,0.07825526050016653,0.12111652465489904,16800
0.15,0.08466876987878674,0.11489399748501954,7200
0.1,0.07474420046434319,0.11744070872394576,24000
0.05,0.07036481759067525,0.12638025605905176,19200
0.1,0.07824883565895749,0.1200370484029617,4800
0.05,0.06460068901424976,0.11921826819546558,24000
0.05,0.07227239315528647,0.13041420373244153,2400
0.25,0.1074084920817325,0.11842122153505186,21600
0.25,0.10267031767710331,0.11245773794562872,24000
0.2,0.09725563304456085,0.11837307123788064,24000
0.2,0.09366487293034183,0.11308929462606103,21600
0.3,0.11478265361746647,0.12177712490619617,2400
0.3,0.11622447897190732,0.11664930109428824,24000
0.0,0.05957260116846322,0.13284758582200787,4800
0.3,0.11260386061410536,0.11293614445884796,19200
0,0.060312661652504554,0.1281617245440823,24000
0.0,0.05482908551851279,0.12292206929184533,16800
0.15,0.08621989530840223,0.1206643109575979,7200
0.15,0.0877187563963434,0.11822254421030802,24000
0.1,0.07860074519028207,0.12376538806376144,9600
0.15,0.08407936544592659,0.11438395156711502,14400
0.1,0.0772426358044501,0.11940868041608049,24000
0.05,0.06715079906363405,0.12653645471278863,12000
0.1,0.07465977445787353,0.1168981282631858,12000
0.05,0.06450904089167268,0.12046102573181686,24000
0.05,0.06309405538455953,0.11812294675082832,9600
0.25,0.10481479107495466,0.11631187807022805,14400
0.25,0.10282314752158898,0.1127180035822724,24000
0.2,0.09457956475243244,0.11642856201870302,16800
0.25,0.10219415626575125,0.1150432146964977,7200
0.2,0.09234083497134554,0.11260738627465644,24000
0.2,0.09744579452804875,0.12053937970649388,4800
0.3,0.11592113861804156,0.1180421714459245,19200
0.3,0.1105180223929543,0.11023993291304533,24000
0.0,0.05765233972130353,0.12897017820704423,21600
0.3,0.12086020405180266,0.12461356573086609,2400
0,0.053567939088024825,0.12209098045413079,24000
0.15,0.08525625589186527,0.11833869283682605,24000
0.1,0.08098276011850832,0.13031166292240756,2400
0.15,0.08330371678096274,0.11390132550831947,21600
0.1,0.07551430205141517,0.11941018632757436,24000
0.05,0.06347694659339936,0.12436652975967394,4800
0.1,0.0726666973796974,0.11574100087125425,19200
0.05,0.06289542672455452,0.11892542431987813,24000
0.05,0.05788065151957556,0.11247594467453895,16800
0.25,0.10286460277835599,0.1150104312594962,7200
0.25,0.09997868377479646,0.11123225152742605,24000
0.2,0.09325726921226703,0.1155442482056185,9600
0.25,0.09780045991161061,0.10676406407784107,14400
0.2,0.08967867127767913,0.11018937044412323,24000
0.2,0.0890815656594513,0.10847662996851411,12000
0.3,0.11168983726854498,0.11486354241458306,12000
0.3,0.11016944438124412,0.11021321878177963,24000
0.0,0.05335268804705613,0.1230326721341687,14400
0.3,0.10660023378520901,0.10726044413972655,9600
0,0.05047495077289521,0.11955859792534305,24000
0.0,0.05165325929248416,0.12104764935710108,7200
0.15,0.08084093632633522,0.11322275814295474,16800
0.15,0.07925543765153578,0.11034090704605352,24000
0.1,0.07421374758311584,0.11895700211649193,19200
0.15,0.08404509251490495,0.11751334564708968,4800
0.1,0.06731478896583512,0.10878104148468405,24000
0.1,0.0787494480343213,0.12712279838085264,2400
